"CENSUS_YEAR","DGUID","ALT_GEO_CODE","GEO_LEVEL","GEO_NAME","TNR_SF","TNR_LF","DATA_QUALITY_FLAG","CHARACTERISTIC_ID","CHARACTERISTIC_NAME","CHARACTERISTIC_NOTE","C1_COUNT_TOTAL","SYMBOL","C2_COUNT_MEN.","SYMBOL.1","C3_COUNT_WOMEN.","SYMBOL.2","C4_COUNT_LOW_CI_TOTAL","SYMBOL.3","C5_COUNT_LOW_CI_MEN.","SYMBOL.4","C6_COUNT_LOW_CI_WOMEN.","SYMBOL.5","C7_COUNT_HI_CI_TOTAL","SYMBOL.6","C8_COUNT_HI_CI_MEN.","SYMBOL.7","C9_COUNT_HI_CI_WOMEN.","SYMBOL.8","C10_RATE_TOTAL","SYMBOL.9","C11_RATE_MEN.","SYMBOL.10","C12_RATE_WOMEN.","SYMBOL.11","C13_RATE_LOW_CI_TOTAL","SYMBOL.12","C14_RATE_LOW_CI_MEN.","SYMBOL.13","C15_RATE_LOW_CI_WOMEN.","SYMBOL.14","C16_RATE_HI_CI_TOTAL","SYMBOL.15","C17_RATE_HI_CI_MEN.","SYMBOL.16","C18_RATE_HI_CI_WOMEN.","SYMBOL.17"
2021,"2021S051624660048",24660048,"Aggregate dissemination area",24660048,3,5,0,143,"    Median employment income in 2020 for full-year full-time workers in 2020 ($)",14,44000,"",45200,"",42000,"",41943,"",42022,"",39943,"",46057,"",48378,"",44057,"",44000,"",45200,"",42000,"",41943,"",42022,"",39943,"",46057,"",48378,"",44057,""
2021,"2021S051624660049",24660049,"Aggregate dissemination area",24660049,2.9,3.7,0,143,"    Median employment income in 2020 for full-year full-time workers in 2020 ($)",14,61200,"",62800,"",57600,"",59204,"",60315,"",55237,"",63196,"",65285,"",59963,"",61200,"",62800,"",57600,"",59204,"",60315,"",55237,"",63196,"",65285,"",59963,""
2021,"2021S051624660050",24660050,"Aggregate dissemination area",24660050,4.1,5,0,143,"    Median employment income in 2020 for full-year full-time workers in 2020 ($)",14,47600,"",47600,"",47600,"",45604,"",42874,"",44443,"",49596,"",52326,"",50757,"",47600,"",47600,"",47600,"",45604,"",42874,"",44443,"",49596,"",52326,"",50757,""
2021,"2021S051624660051",24660051,"Aggregate dissemination area",24660051,2.5,2.3,0,143,"    Median employment income in 2020 for full-year full-time workers in 2020 ($)",14,53600,"",55600,"",50400,"",50341,"",52463,"",44900,"",56859,"",58737,"",55900,"",53600,"",55600,"",50400,"",50341,"",52463,"",44900,"",56859,"",58737,"",55900,""
2021,"2021S051624660052",24660052,"Aggregate dissemination area",24660052,2.8,3.1,0,143,"    Median employment income in 2020 for full-year full-time workers in 2020 ($)",14,68000,"",69000,"",67500,"",64578,"",62237,"",59923,"",71422,"",75763,"",75077,"",68000,"",69000,"",67500,"",64578,"",62237,"",59923,"",71422,"",75763,"",75077,""
2021,"2021S051624660053",24660053,"Aggregate dissemination area",24660053,2.3,2.2,0,143,"    Median employment income in 2020 for full-year full-time workers in 2020 ($)",14,50800,"",54800,"",46800,"",48396,"",51643,"",43969,"",53204,"",57957,"",49631,"",50800,"",54800,"",46800,"",48396,"",51643,"",43969,"",53204,"",57957,"",49631,""
2021,"2021S051624660054",24660054,"Aggregate dissemination area",24660054,3.3,5.2,0,143,"    Median employment income in 2020 for full-year full-time workers in 2020 ($)",14,56800,"",58800,"",54800,"",52726,"",55134,"",49830,"",60874,"",62466,"",59770,"",56800,"",58800,"",54800,"",52726,"",55134,"",49830,"",60874,"",62466,"",59770,""
2021,"2021S051624660055",24660055,"Aggregate dissemination area",24660055,3.4,3.4,0,143,"    Median employment income in 2020 for full-year full-time workers in 2020 ($)",14,52000,"",56000,"",50000,"",50228,"",52089,"",47230,"",53772,"",59911,"",52770,"",52000,"",56000,"",50000,"",50228,"",52089,"",47230,"",53772,"",59911,"",52770,""
2021,"2021S051624660056",24660056,"Aggregate dissemination area",24660056,2.9,3.7,0,143,"    Median employment income in 2020 for full-year full-time workers in 2020 ($)",14,45200,"",49200,"",42400,"",42308,"",45574,"",39508,"",48092,"",52826,"",45292,"",45200,"",49200,"",42400,"",42308,"",45574,"",39508,"",48092,"",52826,"",45292,""
2021,"2021S051624660057",24660057,"Aggregate dissemination area",24660057,3.4,5.2,0,143,"    Median employment income in 2020 for full-year full-time workers in 2020 ($)",14,39600,"",43600,"",36800,"",36259,"",37571,"",31585,"",42941,"",49629,"",42015,"",39600,"",43600,"",36800,"",36259,"",37571,"",31585,"",42941,"",49629,"",42015,""
